#	date	death    affected cases
1	02-20	0          4
2	02-21	1          21
3	02-22	2          79
4	02-23	3          157
5	02-24	7	   229
6	02-25	11         323
7	02-26	12         470
8	02-27	17         655
9	02-28	21         889
10	02-29	29         1128
11	03-01	41         1701
12	03-02	52         2036
13	03-03	79         2502
14	03-04	107        3089
15	03-05	148        3858
16	03-06	197        4636
17	03-07	233        5883
18	03-08	366        7375
19	03-09	463        9172
20	03-10	631        10149
21	03-11	827        12462
22	03-12	1016       15113
23	03-13	1266       17660
24	03-14	1441       21157
25	03-15	1809       24747
26	03-16	2158       27980
27	03-17	2503       31506
28	03-18	2978       35713
29	03-19	3405       41035
30	03-20	4032       47021
31	03-21	4825       53578
33	03-22	5476       59138
34	03-23	6077       63927
35	03-24	6280       69176
36	03-25	7503       74386
37	03-26	8215       80589
38	03-27	9134       86498
39	03-28	10023      92472
40	03-29	10779      97689
41	03-30	11591      101739
42	03-31	12482      105792
43	04-01	13155      110574
44	04-02	13915      115242
45	04-03	14681      119827
46	04-04	15326      124632
47	04-05	15887      128948
48	04-06	16523      132547
49	04-07	17127      135586
50	04-08	17699      139422
51	04-09	18279      143626
52	04-10	18849      147577
