#	date	death     Affected cases
1	02-20	0            15
2	02-21	0            35
3	02-22	0            35
4	02-23	0            35
5	02-24	0	     53
6	02-25	0            57
7	02-26	0            60
8	02-27	0            60
9	02-28	0            63
10	02-29	1            68
11	03-01	1            75
12	03-02	6            100
13	03-03	9            124
14	03-04	11           158
15	03-05	12           221
16	03-06	15           319
17	03-07	19           435
18	03-08	22           541
19	03-09	36           704
20	03-10	30           994
21	03-11	38           1301
22	03-12	41           1630
23	03-13	48           2183
24	03-14	57           2770
25	03-15	69           3613
26	03-16	87           4596
27	03-17	110          6346
28	03-18	150          9296
29	03-19	206          13865
30	03-20	255          19497
31	03-21	301          24345
33	03-22	414          33745
34	03-23	556          44056
35	03-24	781          55222
36	03-25	1028         68673
37	03-26	1296         86061
38	03-27	1697         104804
39	03-28	2222         124256
40	03-29	2592         144321
41	03-30	3150         165053
42	03-31	4064         189967
43	04-01	5114         216622
44	04-02	6088         246729
45	04-03	7139         279183
46	04-04	8469         313379
47	04-05	9636         338779
48	04-06	10895        370019
49	04-07	12868        403521
50	04-08	14811        435518
51	04-09	16712        469124
52	04-10	18747        502876
